Value_x,Value_y
0,35
1,36.3
2,37.6
3,38.9
4,40.2
5,41.5
6,42.8
7,44.1
8,45.4
9,46.7
10,48
11,49.3
12,50.6
13,51.9
14,53.2
15,54.5
16,55.8
17,57.1
18,58.4
19,59.7
20,61
21,62.3
22,63.6
23,64.9
24,66.2
25,67.5
26,68.8
27,70.1
28,71.4
29,72.7
30,74
31,75.3
32,76.6
33,77.9
34,79.2
35,80.5
36,81.8
37,83.1
38,84.4
39,85.7
40,87
41,88.3
42,89.6
43,90.9
44,92.2
45,93.5
46,94.8
47,96.1
48,97.4
49,98.7
50,100
51,101.3
52,102.6
53,103.9
54,105.2
55,106.5
56,107.8
57,109.1
58,110.4
59,111.7
60,113
61,114.3
62,115.6
63,116.9
64,118.2
65,119.5
66,120.8
67,122.1
68,123.4
69,124.7
70,126
71,127.3
72,128.6
73,129.9
74,131.2
75,132.5
76,133.8
77,135.1
78,136.4
79,137.7
80,139
81,140.3
82,141.6
83,142.9
84,144.2
85,145.5
86,146.8
87,148.1
88,149.4
89,150.7
90,152
91,153.3
92,154.6
93,155.9
94,157.2
95,158.5
96,159.8
97,161.1
98,162.4
99,163.7
